scenario,field,seed_suffix,variant_index,template,placeholders,source_file,notes_for_new_variants
transfer,pull_quote,:tp,3,"""Rivals strengthened. We had to act.""",,gpsl_sport_preseason_phase2.sql,
manager_signing,headline,:mh,1,TAKES CHARGE AT,,gpsl_sport_preseason_phase3.sql,
manager_signing,headline,:mh,2,WIN MANAGER DRAFT RACE FOR,,gpsl_sport_preseason_phase3.sql,
manager_signing,headline,:mh,3,AFTER AUCTION BATTLE,,gpsl_sport_preseason_phase3.sql,
manager_signing,pull_quote,:mp,1,"""I know this league. Now I get to lead a club with real ambition.""",,gpsl_sport_preseason_phase3.sql,
manager_signing,pull_quote,:mp,2,"""The board backed me in the auction — I will repay that faith.""",,gpsl_sport_preseason_phase3.sql,
manager_signing,pull_quote,:mp,3,"""We have talent in the squad. My job is to coach it into something special.""",,gpsl_sport_preseason_phase3.sql,
manager_signing,pull_quote,:mp,4,"""Pre-season is when habits are built. We start now.""",,gpsl_sport_preseason_phase3.sql,
preseason_quiet,headline,:xfer,1,{{BUYER}} SPLASH {{FEE}} ON {{PLAYER}},"BUYER,FEE,PLAYER",gpsl_sport_preseason_phase3.sql,
preseason_quiet,headline,:xfer,2,BLOCKBUSTER DEAL: {{PLAYER}} HEADS TO {{BUYER}} FOR {{FEE}},"BUYER,FEE,PLAYER",gpsl_sport_preseason_phase3.sql,
preseason_quiet,headline,:xfer,3,{{BUYER}} LEAD {{MONTH}} SPENDING WITH {{FEE}} MOVE FOR {{PLAYER}},"BUYER,FEE,MONTH,PLAYER",gpsl_sport_preseason_phase3.sql,
owner_takeover,pull_quote,:tp,1,"""We identified him early. The fee reflects his quality.""",,gpsl_sport_preseason_phase3.sql,
owner_takeover,pull_quote,:tp,2,"""He is the missing piece — the board backed us.""",,gpsl_sport_preseason_phase3.sql,
owner_takeover,pull_quote,:tp,3,"""Rivals strengthened. We had to act.""",,gpsl_sport_preseason_phase3.sql,
transfer,headline,:xfer,1,{{BUYER}} SPLASH {{FEE}} ON {{PLAYER}},"BUYER,FEE,PLAYER",gpsl_sport_may_preseason.sql,
transfer,headline,:xfer,2,BLOCKBUSTER DEAL: {{PLAYER}} HEADS TO {{BUYER}} FOR {{FEE}},"BUYER,FEE,PLAYER",gpsl_sport_may_preseason.sql,
transfer,headline,:xfer,3,{{BUYER}} LEAD {{MONTH}} SPENDING WITH {{FEE}} MOVE FOR {{PLAYER}},"BUYER,FEE,MONTH,PLAYER",gpsl_sport_may_preseason.sql,
preseason_quiet,headline,:h,1,%s PRE-SEASON: TRANSFER MARKET HEATS UP,,gpsl_sport_may_preseason.sql,
preseason_quiet,headline,:h,2,%s WINDOW — %s LEAD THE SPENDERS,,gpsl_sport_may_preseason.sql,
preseason_quiet,headline,:h,3,"DEALS, DEALS, DEALS: %s PRE-SEASON SPECIAL",,gpsl_sport_may_preseason.sql,
shock_result,headline,,1,SHOCK IN {{DIVISION}}: {{LOSER}} FALL TO {{WINNER}},"DIVISION,LOSER,WINNER",gpsl_sport_may_preseason.sql,
shock_result,headline,,2,{{WINNER}} STUN {{LOSER}} IN {{SCORE}} {{DIVISION}} UPSET,"DIVISION,LOSER,SCORE,WINNER",gpsl_sport_may_preseason.sql,
shock_result,headline,,3,{{LOSER}} LEFT REELING AFTER {{SCORE}} DEFEAT TO {{WINNER}},"LOSER,SCORE,WINNER",gpsl_sport_may_preseason.sql,
shock_result,subhead,,1,Prestige gap makes result all the more remarkable,,gpsl_sport_may_preseason.sql,
shock_result,subhead,,2,GPSL Sport names the scoreline of the month,,gpsl_sport_may_preseason.sql,
unknown,subhead,,1,{{WINNER}} pulled off the result of {{MONTH}} with a {{SCORE}} victory over {{LOSER}} in the {{DIVISION}}.\n\nThe GPSL table does not lie — but sometimes it is turned on its head.,"DIVISION,LOSER,MONTH,SCORE,WINNER",gpsl_sport_may_preseason.sql,
unknown,subhead,,2,Few saw this coming. {{WINNER}}'s {{SCORE}} win over {{LOSER}} sent shockwaves through the {{DIVISION}} and dominated inbox chatter across the league.,"DIVISION,LOSER,SCORE,WINNER",gpsl_sport_may_preseason.sql,
cup_upset,headline,,1,CUP SHOCK: {{WINNER}} ELIMINATE {{LOSER}},"LOSER,WINNER",gpsl_sport_may_preseason.sql,
cup_upset,headline,,2,{{WINNER}} PULL OFF CUP UPSET AGAINST {{LOSER}},"LOSER,WINNER",gpsl_sport_may_preseason.sql,
cup_upset,headline,,1,Knockout football at its cruellest,,gpsl_sport_may_preseason.sql,
cup_upset,headline,,2,Giant-killing headline act,,gpsl_sport_may_preseason.sql,
cup_upset,headline,,1,{{WINNER}} knocked out {{LOSER}} in the cups with a {{SCORE}} scoreline that will live long in GPSL folklore.,"LOSER,SCORE,WINNER",gpsl_sport_may_preseason.sql,
cup_upset,headline,,2,The cups delivered again. {{WINNER}}'s {{SCORE}} defeat of {{LOSER}} was the story {{MONTH}} needed.,"LOSER,MONTH,SCORE,WINNER",gpsl_sport_may_preseason.sql,
manager_pressure,headline,,1,MANAGER UNDER PRESSURE: {{WINNER}} FLOUNDER IN {{MONTH}},"MONTH,WINNER",gpsl_sport_may_preseason.sql,
manager_pressure,headline,,2,{{WINNER}} OWNER FACING QUESTIONS AFTER POOR {{MONTH}},"MONTH,WINNER",gpsl_sport_may_preseason.sql,
manager_pressure,headline,,1,Points tally nowhere near expectation,,gpsl_sport_may_preseason.sql,
manager_pressure,headline,,2,Prestige club in the relegation conversation,,gpsl_sport_may_preseason.sql,
manager_pressure,subhead,,1,{{WINNER}} sit on just {{POINTS}} points — far below what their squad prestige promised. {{MONTH}} was another month of frustration for one of the GPSL's biggest clubs.,"MONTH,POINTS,WINNER",gpsl_sport_may_preseason.sql,
manager_pressure,subhead,,2,Expectation versus reality: {{WINNER}} are {{POSITION}} in the table with {{POINTS}} points. Patience is wearing thin.,"POINTS,POSITION,WINNER",gpsl_sport_may_preseason.sql,
roundup,headline,,1,{{MONTH}} GPSL ROUND-UP: TABLE STILL WIDE OPEN,MONTH,gpsl_sport_may_preseason.sql,
roundup,headline,,2,ANOTHER DRAMATIC MONTH IN GPSL FOOTBALL,,gpsl_sport_may_preseason.sql,
roundup,subhead,,1,{{MONTH}} is in the books and the GPSL rolls on. Results across SuperLeague and the Championships reshaped the table.,MONTH,gpsl_sport_may_preseason.sql,
roundup,subhead,,2,"From shock scorelines to late check-ins, {{MONTH}} had it all.",MONTH,gpsl_sport_may_preseason.sql,
unknown,headline,:h,1,{{WINNER_OWNER}}'S {{WINNER}} STUN {{LOSER}} IN {{SCORE}} SHOCKER,"LOSER,SCORE,WINNER,WINNER_OWNER",gpsl_sport_inseason_rich_edition.sql,
unknown,headline,:h,2,UPSET OF {{MONTH}}: {{WINNER}} BEAT {{LOSER}} {{SCORE}},"LOSER,MONTH,SCORE,WINNER",gpsl_sport_inseason_rich_edition.sql,
unknown,headline,:h,3,{{LOSER_OWNER}} LEFT REELING AS {{WINNER}} PULL OFF {{DIVISION}} SHOCK,"DIVISION,LOSER_OWNER,WINNER",gpsl_sport_inseason_rich_edition.sql,
transfer,headline,:xfer,1,{{BUYER}} SPLASH {{FEE}} ON {{PLAYER}},"BUYER,FEE,PLAYER",gpsl_sport_visual_heroes.sql,
transfer,headline,:xfer,2,BLOCKBUSTER DEAL: {{PLAYER}} HEADS TO {{BUYER}} FOR {{FEE}},"BUYER,FEE,PLAYER",gpsl_sport_visual_heroes.sql,
transfer,headline,:xfer,3,{{BUYER}} LEAD {{MONTH}} SPENDING WITH {{FEE}} MOVE FOR {{PLAYER}},"BUYER,FEE,MONTH,PLAYER",gpsl_sport_visual_heroes.sql,
preseason_quiet,headline,:h,1,%s PRE-SEASON: TRANSFER MARKET HEATS UP,,gpsl_sport_visual_heroes.sql,
preseason_quiet,headline,:h,2,%s WINDOW — %s LEAD THE SPENDERS,,gpsl_sport_visual_heroes.sql,
preseason_quiet,headline,:h,3,"DEALS, DEALS, DEALS: %s PRE-SEASON SPECIAL",,gpsl_sport_visual_heroes.sql,
