scenario,pack_id,field,template,placeholders,notes,priority
manager_pressure,press_not_good_enough,body,"You can dress {{MONTH}} up however you like. {{WINNER}} are {{POSITION}} with {{POINTS}} points. For a club of this stature, that sentence does the damage on its own.","MONTH,WINNER,POSITION,POINTS",human voice,high
poor_start,poor_promise_gap,headline,{{WINNER}} PROMISED MUCH — {{MONTH}} SAID OTHERWISE,"WINNER,MONTH",paired pack,high
poor_start,poor_promise_gap,subhead,Already adrift of where they hoped to be,,paired pack,high
poor_start,poor_promise_gap,body,"Pre-season chat around {{WINNER}} was hopeful. {{MONTH}} was not. {{POINTS}} points later, the gap between plan and reality is the story — and patience in this league is not endless.","WINNER,MONTH,POINTS",human voice,high
poor_start,poor_off_pace,headline,{{WINNER}} ALREADY OFF THE PACE IN {{DIVISION}},"WINNER,DIVISION",paired pack,high
poor_start,poor_off_pace,subhead,Squad value not showing up in the points column,,paired pack,high
poor_start,poor_off_pace,body,"{{WINNER}} were meant to be in the mix. Right now they are chasing it. {{MONTH}} did not light the fuse — and rivals who were supposed to be looking up at them have already moved on.","WINNER,MONTH",human voice,high
poor_start,poor_grind,headline,ANOTHER GRINDING MONTH FOR {{WINNER}},WINNER,paired pack,high
poor_start,poor_grind,subhead,{{POINTS}} points — the slow start continues,POINTS,paired pack,high
poor_start,poor_grind,body,"No crisis banners yet. Just a nagging feeling at {{WINNER}} that this season is starting wrong. {{MONTH}} added another quiet disappointment. At some point quiet becomes loud.","WINNER,MONTH",human voice,high
poor_start,poor_expectation,headline,EXPECTATION VS REALITY: {{WINNER}} STUCK IN {{MONTH}},"WINNER,MONTH",paired pack,high
poor_start,poor_expectation,subhead,Medium-club ambitions look a long way off,,paired pack,high
poor_start,poor_expectation,body,"{{WINNER}} do not need to win the league. They do need to look like a side with a plan. {{POINTS}} points after {{MONTH}} is not that look. The next stretch matters more than the press notes.","WINNER,POINTS,MONTH",human voice,high
poor_start,poor_paper_wrong,headline,ON PAPER {{WINNER}} SHOULD BE HIGHER — THEY ARE NOT,WINNER,paired pack,high
poor_start,poor_paper_wrong,subhead,{{DIVISION}} table telling an awkward truth,DIVISION,paired pack,high
poor_start,poor_paper_wrong,body,"Ratings. Manager. Pre-season chat. All of it said {{WINNER}} would be fine. The table says {{POINTS}}. {{MONTH}} was another month where the paper version of this club failed to show up.","WINNER,POINTS,MONTH",human voice,high
poor_start,poor_need_spark,headline,{{WINNER}} STILL WAITING FOR A SPARK,WINNER,paired pack,high
poor_start,poor_need_spark,subhead,{{MONTH}} came and went without a lift,MONTH,paired pack,high
poor_start,poor_need_spark,body,"Every side hits a flat patch. {{WINNER}}'s problem is the patch arrived early. {{POINTS}} points is survivable — if {{MONTH}} is the floor, not the ceiling.","WINNER,POINTS,MONTH",human voice,high
roundup,round_wide_open,headline,{{MONTH}} GPSL ROUND-UP: TABLE STILL WIDE OPEN,MONTH,paired pack,medium
roundup,round_wide_open,subhead,Fixtures, inbox drama and a league that will not settle,,paired pack,medium
roundup,round_wide_open,body,"{{MONTH}} is filed. SuperLeague and the Championships all shifted again, owners argued with calendars and the inbox did what the inbox does. GPSL Sport will be back next edition — the race is nowhere near done.","MONTH",human voice,medium
roundup,round_had_it_all,headline,{{MONTH}} HAD A BIT OF EVERYTHING,MONTH,paired pack,medium
roundup,round_had_it_all,subhead,Shocks, slog and the usual late check-ins,,paired pack,medium
roundup,round_had_it_all,body,"From odd scorelines to familiar grind, {{MONTH}} covered the GPSL spectrum. Clubs reset, points still matter, and pride is never far behind. See you when the next month locks.","MONTH",human voice,medium
roundup,round_leaders_grip,headline,LEADERS TIGHTEN THE SCREWS AS {{MONTH}} CLOSES,MONTH,paired pack,medium
roundup,round_leaders_grip,subhead,Chase pack still in touch — just,,paired pack,medium
roundup,round_leaders_grip,body,"{{MONTH}} belonged to the sides who kept winning the ugly ones. The table looks clearer than it did four weeks ago — clearer, not decided. That is usually when the GPSL gets spicy.","MONTH",human voice,medium
roundup,round_reset,headline,{{MONTH}} DONE — EVERYONE RESETS,MONTH,paired pack,medium
roundup,round_reset,subhead,GPSL Sport's monthly sweep,,paired pack,medium
roundup,round_reset,body,"Another GPSL month in the books. Some owners will sleep well. Others will open the squad screen first thing. {{MONTH}} changed enough to matter and left enough undecided to keep Friday interesting.","MONTH",human voice,medium
roundup,round_noise,headline,NOISE, POINTS AND {{MONTH}},MONTH,paired pack,medium
roundup,round_noise,subhead,The league kept moving whether anyone liked it or not,,paired pack,medium
roundup,round_noise,body,"Ignore the noise for a second and look at the table — that is {{MONTH}}'s real headline. Everything else was colour. GPSL Sport will unpack the next chapter when the calendar says so.","MONTH",human voice,medium
roundup,round_still_racing,headline,STILL RACING AFTER {{MONTH}},MONTH,paired pack,medium
roundup,round_still_racing,subhead,No clean narratives — just a live league,,paired pack,medium
roundup,round_still_racing,body,"If you wanted a tidy story from {{MONTH}}, you came to the wrong league. Results scrambled the picture again. That is fine. Messy months make better seasons.","MONTH",human voice,medium
owner_takeover,own_helm,headline,{{OWNER}} TAKES THE HELM AT {{CLUB}},"OWNER,CLUB",paired pack,high
owner_takeover,own_helm,subhead,"""This is a special club — I cannot wait to get started.""",,pull quote field,high
owner_takeover,own_helm,body,"{{OWNER}} is in at {{CLUB}}. Not a rumour — the link is live, the inbox is open, and pre-season {{MONTH}} is already on the clock. GPSL Sport will be watching how quickly they put a stamp on the squad.","OWNER,CLUB,MONTH",human voice,high
owner_takeover,own_new_era,headline,NEW ERA AT {{CLUB}} — {{OWNER}} INSTALLED,"CLUB,OWNER",paired pack,high
owner_takeover,own_new_era,subhead,"""The squad has quality. My job is to unlock it.""",,pull quote field,high
owner_takeover,own_new_era,body,"{{CLUB}} have a new name above the door: {{OWNER}}. Boardroom seat taken, transfer budget live, Learning GPSL probably open in another tab. Pre-season is short. Ambition usually is not.","CLUB,OWNER",human voice,high
owner_takeover,own_welcome,headline,{{CLUB}} WELCOME {{OWNER}},"CLUB,OWNER",paired pack,high
owner_takeover,own_welcome,subhead,"""I have followed GPSL for years. Now it is my turn.""",,pull quote field,high
owner_takeover,own_welcome,body,"Official welcome confirmed for {{OWNER}} at {{CLUB}} this {{MONTH}}. The takeover chatter can stop — they are in. Now comes the harder bit: turning a linked club into a project.","OWNER,CLUB,MONTH",human voice,high
owner_takeover,own_keys,headline,KEYS HANDED OVER — {{OWNER}} AT {{CLUB}},"OWNER,CLUB",paired pack,high
owner_takeover,own_keys,subhead,"""Expect ambition. I did not come here to finish mid-table.""",,pull quote field,high
owner_takeover,own_keys,body,"{{OWNER}} has the keys at {{CLUB}}. Stadium costs settled, squad inherited, expectations waiting in the inbox. Rivals will pretend not to care. They will care the first time the new owner wins ugly.","OWNER,CLUB",human voice,high
owner_takeover,own_hot_seat,headline,{{OWNER}} DROPS INTO THE {{CLUB}} HOT SEAT,"OWNER,CLUB",paired pack,high
owner_takeover,own_hot_seat,subhead,"""Build something. That is the brief.""",,pull quote field,high
owner_takeover,own_hot_seat,body,"Another GPSL hot seat filled: {{OWNER}} → {{CLUB}}. {{MONTH}} pre-season is the calm before the inbox storms. GPSL Sport's advice is the same as always — read the guide, then get busy.","OWNER,CLUB,MONTH",human voice,high
owner_takeover,own_project,headline,{{CLUB}} PROJECT BEGINS UNDER {{OWNER}},"CLUB,OWNER",paired pack,high
owner_takeover,own_project,subhead,"""No honeymoon. Just work.""",,pull quote field,high
owner_takeover,own_project,body,"Call it a project or a privilege — {{OWNER}} now runs {{CLUB}}. The welcome message is the easy part. Building a side that survives Fridays is the rest.","OWNER,CLUB",human voice,high
owner_takeover,own_chat_groups,headline,GROUP CHATS NOTICE: {{OWNER}} HAS {{CLUB}},"OWNER,CLUB",paired pack,high
owner_takeover,own_chat_groups,subhead,"""I know the league. Now I get a club.""",,pull quote field,high
owner_takeover,own_chat_groups,body,"The owner tags updated and the chat groups did what chat groups do. {{OWNER}} is confirmed at {{CLUB}} for {{MONTH}}. Formalities done. Judgement starts with the first window.","OWNER,CLUB,MONTH",human voice,high
owner_takeover,own_quiet_arrival,headline,QUIET ARRIVAL: {{OWNER}} LINKED TO {{CLUB}},"OWNER,CLUB",paired pack,high
owner_takeover,own_quiet_arrival,subhead,"""Let the football do the talking.""",,pull quote field,high
owner_takeover,own_quiet_arrival,body,"No parade needed. {{OWNER}} is linked to {{CLUB}}, finances are live, and the squad is theirs to shape. In GPSL, quiet arrivals still get loud scorelines eventually.","OWNER,CLUB",human voice,high
owner_takeover,own_auction_win,headline,AUCTION WINNER: {{OWNER}} LANDS {{CLUB}},"OWNER,CLUB",paired pack,high
owner_takeover,own_auction_win,subhead,"""We bid what we had to. Now we build.""",,pull quote field,high
owner_takeover,own_auction_win,body,"{{OWNER}} won the club auction race for {{CLUB}} — fee cleared, assignment locked, inbox pinging. That is the glamorous bit. Pre-season {{MONTH}} is where the real work starts.","OWNER,CLUB,MONTH",human voice — prefer when assign_source=club_auction,high
owner_takeover,own_office_appoint,headline,LEAGUE OFFICE APPOINTS {{OWNER}} AT {{CLUB}},"OWNER,CLUB",paired pack,high
owner_takeover,own_office_appoint,subhead,"""The board backed the appointment. Results will judge it.""",,pull quote field,high
owner_takeover,own_office_appoint,body,"{{OWNER}} has been appointed to run {{CLUB}} ahead of the campaign. Assignment confirmed by the league office; stadium and books are in place. Rivals will be timing how fast the new regime moves.","OWNER,CLUB",human voice — prefer when assign_source=admin_assign,high
